RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B3-024264,2013/03/20 00:00:00+00,1530,3400 S 10 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2048
B3-027806,2013/03/30 00:00:00+00,1250,"O,63 to EASTRIDGE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2049
B3-024868,2013/03/21 00:00:00+00,911,"S 70,A to TETON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2050
B3-023476,2013/03/18 00:00:00+00,1032,SUNBURST at SUMNER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2051
B3-028679,2013/04/01 00:00:00+00,1350,"NEBR HWY,S 27 to PIONEERS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2052
B3-025671,2013/03/23 00:00:00+00,1505,6100 O at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,2053
B3-026425,2013/03/26 00:00:00+00,800,N 21 at Y,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2054
B3-027058,2013/03/28 00:00:00+00,1417,4928 BANCROFT at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,2055
B3-024880,2013/03/21 00:00:00+00,924,S 84 at A,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,2056
B3-027809,1970/01/01 00:00:00+00,9999,1321 N 9 at PARKING LOT,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,2057
B3-024283,2013/03/20 00:00:00+00,1727,"P,N 25 to N 26",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2058
B3-023488,2013/03/18 00:00:00+00,1037,"TURTLE CREEK RD,N 11 to N 14",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,2059
B3-028685,2013/04/01 00:00:00+00,1426,S 17 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2060
B3-026431,2013/03/26 00:00:00+00,827,"HOLDREGE,N 63 to VALLEY VIEW",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,2061
B3-025674,2013/03/23 00:00:00+00,1535,N 56 at RUSSELL,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2062
B3-027092,2013/03/28 00:00:00+00,1536,S 27 at FRANKLIN,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2063
B3-024291,2013/03/20 00:00:00+00,1803,1530 N 48 at KENS KEGS,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,2064
B3-027816,2013/03/30 00:00:00+00,1405,"SOUTH,S 10 to S 11",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2065
B3-024911,2013/03/21 00:00:00+00,9999,"I 180,I 80 to SUPERIOR",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2066
B3-023504,2013/03/18 00:00:00+00,1106,S 70 at LINCOLNSHIRE,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,2067
B3-028693,2013/03/24 00:00:00+00,2330,"S 14,A to B",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2068
B3-025682,2013/03/23 00:00:00+00,1559,"S 42,CURTIS to HILLSIDE",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2069
B3-026473,2013/03/26 00:00:00+00,740,"O,16 to CENTENNIAL MALL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2070
B3-027095,2013/03/27 00:00:00+00,2200,O at COTNER,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2071
B3-027838,2013/03/30 00:00:00+00,1425,"BUTLER,N 11 to N 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2072
B3-024914,2013/03/21 00:00:00+00,936,"M,CENTENNIAL MALL to S 14",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2073
B3-024295,2013/03/20 00:00:00+00,1835,N 47 at HUNTINGTON,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,NO,NO,2074
B3-023518,2013/03/18 00:00:00+00,1311,"S 70,NORMAL to HOLMES PARK RD",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2075
B3-028716,2013/04/01 00:00:00+00,1455,S 13 at K,INJURY,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2076
B3-025713,2013/03/23 00:00:00+00,1630,5150 O at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2077
B3-026502,2013/03/26 00:00:00+00,1000,"W CUMING,NW 47 to NW 48",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,2078
B3-027103,2013/03/28 00:00:00+00,1620,46 at O,INJURY,TURNING,2,4,NO,NO,NO,NO,NO,NO,NO,2079
B3-024923,2013/03/21 00:00:00+00,855,"S 40,SMITH to VAN DORN",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2080
B3-027842,2013/03/30 00:00:00+00,1355,5700 LEGACY TERR at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2081
