RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B3-062274,2013/07/10 00:00:00+00,1000,1315 F at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4602
B3-067975,2013/07/24 00:00:00+00,1729,"S 50,A to C",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,YES,4603
B3-065907,2013/07/19 00:00:00+00,1020,"S 33,LOVELAND to PIONEERS",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,4604
B3-064640,2013/07/16 00:00:00+00,928,"NEBR HWY,S 27 to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4605
B3-063211,2013/07/12 00:00:00+00,842,"N 27,PEAR to VINE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4606
B3-066844,2013/07/21 00:00:00+00,9999,"S 21,D to E",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4607
B3-068573,2013/07/26 00:00:00+00,2155,8300 NORTHWOODS at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4608
B3-068020,2013/07/24 00:00:00+00,9999,1100 N at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4609
B3-062323,2013/07/06 00:00:00+00,2000,"N 51,DEAD END to Y",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4610
B3-068594,2013/07/26 00:00:00+00,2320,"S 17,M to N",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4611
B3-063212,2013/07/10 00:00:00+00,9999,"8700 ANDERMATT,WALMART to PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4612
B3-063996,2013/07/15 00:00:00+00,1340,S 16 at C,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4613
B3-064656,1970/01/01 00:00:00+00,9999,2145 S 17 at SUN MART FOODS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4614
B3-065954,2013/07/19 00:00:00+00,1024,N 1 at CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4615
B3-066857,2013/07/21 00:00:00+00,2118,"FREMONT,N 48 to SOMERSET",NON-INJ,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4616
B3-068116,2013/07/24 00:00:00+00,1820,"PIONEERS,S 8 to S 9",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4617
B3-063213,2013/07/12 00:00:00+00,1045,N 44 at HUNTINGTON,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4618
B3-068599,2013/07/26 00:00:00+00,2300,"N 24,W to DEAD END",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4619
B3-062335,2013/07/10 00:00:00+00,1817,S 40 at J,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4620
B3-064022,2013/07/14 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,4621
B3-064683,1970/01/01 00:00:00+00,9999,338 S 26 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4622
B3-066886,2013/07/21 00:00:00+00,2305,"O,40 to 42",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4623
B3-065978,2013/07/19 00:00:00+00,1040,S 48 at NORMAL,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,4624
B3-064714,2013/07/16 00:00:00+00,1125,"O,COTNER to LYNCREST",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4625
B3-063215,2013/07/12 00:00:00+00,1240,"SOUTH,S 18 to S 19",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,4626
B3-064039,2013/07/14 00:00:00+00,1518,"N 24,P to Q",NON-INJ,DRIVEWAY,1,0,NO,NO,NO,NO,NO,YES,NO,4627
B3-066917,2013/07/21 00:00:00+00,2359,"N 37,BALDWIN to HUNTINGTON",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4628
B3-068125,2013/07/24 00:00:00+00,1840,"S 14,WARLICK to OLD CHENEY",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4629
B3-066027,2013/07/19 00:00:00+00,1042,"A,GOODHUE BLVD to S 16",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4630
B3-062421,2013/07/10 00:00:00+00,1755,S 14 at NEBR HWY,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4631
B3-068606,2013/07/27 00:00:00+00,45,6212 HAVELOCK at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4632
B3-064754,2013/07/16 00:00:00+00,1136,"N 57,MORTON to RUSSELL",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4633
B3-066969,2013/07/22 00:00:00+00,9999,"CLEVELAND,N 51 to N 52",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4634
B3-068132,2013/07/24 00:00:00+00,1430,625 N 46 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4635
B3-063229,2013/07/12 00:00:00+00,1248,"O,34 to 35",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4636
B3-068619,2013/07/27 00:00:00+00,420,"S 13,HARRISON to HILL ST",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4637
B3-062430,2013/07/10 00:00:00+00,1100,"S 65 CR,DEAD END to DEERWOOD DR",NON-INJ H&R,DRIVEWAY,1,0,NO,NO,NO,NO,NO,YES,NO,4638
B3-066040,2013/07/19 00:00:00+00,1055,"N 27,HOLDREGE to STARR",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,4639
B3-064051,2013/07/14 00:00:00+00,1608,"A,EASTRIDGE to S 58",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4640
B3-064766,2013/07/16 00:00:00+00,1228,"S 56,OLD CHENEY to NEBR HWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4641
B3-062448,2013/07/10 00:00:00+00,2100,33 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4642
B3-066057,2013/07/19 00:00:00+00,1210,S 11 at VAN DORN,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4643
B3-064075,2013/07/14 00:00:00+00,1703,"R,ORCUTT E to ORCUTT W",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,4644
B3-068136,2013/07/25 00:00:00+00,730,"S 13,BURNHAM to NEBR HWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4645
B3-068622,2013/07/27 00:00:00+00,100,"N 52,X to Y",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4646
B3-063230,2013/07/10 00:00:00+00,9999,PARKING GARAGE at ST ELIZ HOSP,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,4647
B3-066993,2013/07/22 00:00:00+00,948,"N 48,FREMONT to HARTLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4648
B3-064797,2013/07/16 00:00:00+00,1255,2502 N 48 at WALGREENS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4649
B3-067052,2013/07/22 00:00:00+00,1136,"O,70 to WEDGEWOOD",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4650
B3-064119,1970/01/01 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,4651
B3-063243,2013/07/12 00:00:00+00,1305,"N 33,CORNHUSKER to MADISON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4652
B3-062452,2013/07/10 00:00:00+00,2117,"O,33 to 34",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4653
B3-068156,2013/07/25 00:00:00+00,745,"SUPERIOR,BEL RIDGE to N 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4654
B3-068630,2013/07/27 00:00:00+00,853,"SOUTH,S 57 to S 58",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4655
B3-066072,2013/07/19 00:00:00+00,1215,1555 YOLANDE at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,4656
B3-067084,2013/07/22 00:00:00+00,1303,"NEBR HWY,S 27 to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4657
B3-064163,2013/07/14 00:00:00+00,1851,S 12 at B,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4658
B3-064798,2013/07/16 00:00:00+00,1507,SYCAMORE at A,INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,4659
B3-063250,2013/07/12 00:00:00+00,1325,"R,N 48 to N 50",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4660
B3-066073,2013/07/19 00:00:00+00,1325,N 62 at PLATTE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4661
B3-068163,2013/07/25 00:00:00+00,900,435 S 10 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4662
B3-062458,2013/07/10 00:00:00+00,2115,4135 S 48 at CASEY'S,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4663
B3-068633,1970/01/01 00:00:00+00,9999,640 S 17 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4664
B3-067094,2013/07/22 00:00:00+00,1320,S 13 at C,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,4665
B3-064183,2013/07/15 00:00:00+00,448,"S 70,SOUTHFORK to NEBR HWY",FATAL,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,4666
B3-066079,2013/07/19 00:00:00+00,1335,"A,S 46 to S 48",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4667
B3-068663,2013/07/27 00:00:00+00,1059,"N 31,T to U",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4668
B3-068166,2013/07/25 00:00:00+00,1115,2330 N 44 at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,4669
B3-063260,2013/07/12 00:00:00+00,1352,S 10 at ROSE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4670
B3-062480,2013/07/10 00:00:00+00,2150,"SOUTH,PARK BLVD to S 1",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4671
B3-064853,2013/07/16 00:00:00+00,1519,"O,17 to 18",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4672
B3-067098,2013/07/22 00:00:00+00,1327,"N 48,R to VINE",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,4673
B3-064191,2013/07/15 00:00:00+00,800,N 84 at ADAMS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4674
B3-066092,2013/07/19 00:00:00+00,1315,"HWY 34,FALLBROOK BLVD to NW 27",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4675
B3-068679,2013/07/27 00:00:00+00,1412,17 at O,INJURY,RIGHT ANGLE,2,4,NO,NO,NO,NO,NO,YES,NO,4676
B3-068168,2013/07/24 00:00:00+00,9999,5840 S 52 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,4677
B3-063273,2013/07/12 00:00:00+00,1404,56 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4678
B3-062488,2013/07/10 00:00:00+00,2249,S 27 at A,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4679
B3-064861,2013/07/14 00:00:00+00,9999,"S 36,J to LAURA",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4680
B3-067108,2013/07/22 00:00:00+00,1453,"CORNHUSKER,N 31 to N 33",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4681
B3-068685,2013/07/27 00:00:00+00,1645,8201 S 40 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4682
B3-066097,2013/07/19 00:00:00+00,1348,"N 1,FAIRFIELD to OREGON",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4683
B3-064205,2013/07/15 00:00:00+00,630,"W CUMING,NW 38 to NW 39",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4684
B3-068175,2013/07/25 00:00:00+00,730,MOOR at JAMESON NORTH,NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4685
B3-063300,2013/07/12 00:00:00+00,1418,"CENTENNIAL MALL,O to P",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4686
B3-064887,2013/07/16 00:00:00+00,1652,"VAN DORN,S 14 to S 16",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4687
B3-062501,2013/07/10 00:00:00+00,1800,"N CHESTER,W CORNHUSKER to W SAUNDERS",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4688
B3-067131,2013/07/22 00:00:00+00,1640,"S 56,N to",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4689
B3-064216,2013/07/15 00:00:00+00,1139,"S 70,L to O",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4690
B3-064891,2013/07/16 00:00:00+00,1655,"S 27,LAREDO to RIDGELINE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4691
B3-063306,2013/07/12 00:00:00+00,1427,"E AVON,N 79 to SANBORN",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,4692
B3-068182,2013/07/25 00:00:00+00,1700,N 32 & N 33 at Y & ORCHARD,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4693
B3-062519,2013/07/11 00:00:00+00,126,127 W B at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,4694
B3-066098,2013/07/19 00:00:00+00,1440,"RANDOLPH,ROBERT to S COTNER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4695
B3-068703,2013/07/27 00:00:00+00,1950,RANDOLPH at CAPITOL PKWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4696
B3-064940,2013/07/16 00:00:00+00,1648,"W FLETCHER,NW 7 to NW 12",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4697
B3-063375,2013/07/12 00:00:00+00,1428,"S 17,N to O",INJURY,REAR END,3,3,NO,NO,NO,NO,NO,NO,NO,4698
B3-068188,2013/07/25 00:00:00+00,1303,"S 70,A to SUMNER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4699
B3-062537,2013/07/11 00:00:00+00,306,"S 31,BRIARWOOD to WILDBRIAR",INJURY H&R,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,4700
B3-067149,2013/07/22 00:00:00+00,1655,"TUDOR,NW 3 to NW 3",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4701
B3-066106,2013/07/19 00:00:00+00,1536,"S 48,BRYSON to C",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,4702
B3-064229,2013/07/15 00:00:00+00,1204,"A,RIDGEWAY to S 48",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4703
B3-068721,2013/07/27 00:00:00+00,2140,"FAIRFIELD,MANATT to N 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4704
B3-062555,1970/01/01 00:00:00+00,9999,S 14 at INFINITY CT,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4705
B3-068202,2013/07/25 00:00:00+00,9999,"N 63,LEIGHTON to WALKER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4706
B3-064962,2013/07/16 00:00:00+00,1716,"OLD CHENEY,S 52 to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4707
B3-063383,2013/07/12 00:00:00+00,1447,"N ANTELOPE VALL,VINE to N 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4708
B3-064234,2013/07/15 00:00:00+00,1120,"S 16,L to M",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4709
B3-067151,2013/07/22 00:00:00+00,1715,S 25 at N,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4710
B3-066118,2013/07/19 00:00:00+00,1459,S 33 at PIONEERS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4711
B3-068761,2013/07/27 00:00:00+00,9999,"N 32,DUDLEY to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4712
B3-062568,2013/07/11 00:00:00+00,555,S 10 at N,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4713
B3-068222,2013/07/25 00:00:00+00,1349,S 70 at PIONEERS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4714
B3-064975,2013/07/16 00:00:00+00,1750,WOODS BLVD at DUNN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4715
B3-063395,2013/07/12 00:00:00+00,1451,"VAN DORN,S 82 to S 84",INJURY H&R,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4716
B3-067160,2013/07/22 00:00:00+00,1655,"PINE LAKE,S 32 to S 34",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,4717
B3-068763,2013/07/28 00:00:00+00,1219,"S 56,VAN DORN to VAN DORN",INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,4718
B3-064239,2013/07/15 00:00:00+00,1221,"S 40,CHAPIN to PRESCOTT",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,4719
B3-066146,2013/07/19 00:00:00+00,1840,"I 180,CORNHUSKER to SUPERIOR",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,4720
B3-062575,2013/07/11 00:00:00+00,717,S 16 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,YES,4721
B3-064982,2013/07/16 00:00:00+00,1915,"E,S 23 to S 24",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4722
B3-068227,2013/07/25 00:00:00+00,1505,2021 N 27 at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,YES,NO,4723
B3-063422,2013/07/12 00:00:00+00,1450,"SAUNDERS,N 11 to SPRINGFIELD",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4724
B3-064253,2013/07/15 00:00:00+00,1239,"HOMESTEAD EXP,WARLICK to CITY LIMITS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4725
B3-067161,2013/07/22 00:00:00+00,2025,S 53 at PRESCOTT,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4726
B3-068770,2013/07/28 00:00:00+00,1230,"O,3 (OVERPASS) to 9",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4727
B3-066199,2013/07/19 00:00:00+00,1916,"A,REGENCY to S 77",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4728
B3-065020,2013/07/16 00:00:00+00,1920,"1550 S,CODDINGTON to PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4729
B3-063438,2013/07/12 00:00:00+00,1505,"HAVELOCK,CORNHUSKER to TOUZALIN",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4730
B3-062609,2013/07/11 00:00:00+00,715,"LAREDO,NOGALAS to S 28",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,4731
B3-067162,2013/07/22 00:00:00+00,2330,"N 29,APPLE to W",INJURY,TURNING,1,1,NO,NO,NO,NO,NO,NO,NO,4732
B3-068802,2013/07/28 00:00:00+00,1500,S 9 at M,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4733
B3-068241,2013/07/25 00:00:00+00,1532,"NORMAL,S 55 to S 56",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4734
B3-064257,2013/07/15 00:00:00+00,1313,"O,31 to 32",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,YES,NO,4735
B3-066302,2013/07/19 00:00:00+00,2050,"FAIRFIELD,N 25 to N 27",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4736
B3-065064,2013/07/16 00:00:00+00,9999,"S 18,DEAD END to WASHINGTON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4737
B3-063449,2013/07/12 00:00:00+00,1608,"N 48,CLEVELAND to MADISON",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4738
B3-062634,2013/07/11 00:00:00+00,1013,"N 11,O to P",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,YES,4739
B3-066307,2013/07/19 00:00:00+00,9999,401 N 84 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4740
B3-068243,2013/07/25 00:00:00+00,1550,"SW 10,W A to W C",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4741
B3-068849,2013/07/28 00:00:00+00,1505,"S 33,DEAD END to NEBR HWY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4742
B3-067164,2013/07/23 00:00:00+00,658,"NEBR HWY,S 27 to PIONEERS",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,4743
B3-064266,2013/07/15 00:00:00+00,1405,RUTLAND at NORWOOD,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,4744
B3-065066,2013/07/17 00:00:00+00,1900,"CALVERT,COUNTRY CLUB to PACE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4745
B3-063458,2013/07/12 00:00:00+00,9999,221 SUN VALLEY at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4746
B3-062636,2013/07/11 00:00:00+00,1031,"O,12 to 13",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,4747
B3-066311,2013/07/19 00:00:00+00,9999,4700 DUDLEY at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4748
B3-068249,2013/07/25 00:00:00+00,1600,"P,N 8 to N 9",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4749
B3-068864,2013/07/28 00:00:00+00,1513,N 33 at HOLDREGE,NON-INJ,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,4750
B3-067166,2013/07/23 00:00:00+00,946,"S 48,NEBR HWY to WOODLAND",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,4751
B3-064273,2013/07/15 00:00:00+00,1455,N 48 at ADAMS,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4752
B3-065079,2013/07/17 00:00:00+00,322,"CAPITOL BEACH,SURFSIDE to W S",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,YES,NO,4753
B3-063461,2013/07/12 00:00:00+00,1640,SUPERIOR at I 180,INJURY,TURNING,2,3,NO,NO,NO,NO,NO,YES,NO,4754
B3-062645,2013/07/11 00:00:00+00,1034,N 56 at RUSSELL,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4755
B3-067168,2013/07/23 00:00:00+00,1129,9 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4756
B3-068869,2013/07/28 00:00:00+00,1,"MEREDETH,S 49 to S 51",NON-INJ,BACKING,1,0,NO,NO,NO,NO,NO,NO,NO,4757
B3-068251,2013/07/25 00:00:00+00,1624,S 49 at SOUTH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4758
B3-066321,2013/07/19 00:00:00+00,2351,SALTILLO at S 25,INJURY,RIGHT ANGLE,2,3,NO,NO,NO,NO,NO,YES,NO,4759
B3-064283,2013/07/15 00:00:00+00,1507,"S 16,OLD CHENEY to WINDHOEK",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4760
B3-065093,2013/07/17 00:00:00+00,742,"NORMAL,S 39 to S 40",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4761
B3-062742,2013/07/11 00:00:00+00,1100,"S 27,E to F",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4762
B3-063476,2013/07/12 00:00:00+00,1647,"OLD CHENEY,HUNTS DR to CITY LIMITS",FATAL,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4763
B3-068881,2013/07/28 00:00:00+00,1627,"LAYTONJOHN LN,OHANLON DR to GRAINGER PKWY",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4764
B3-068256,2013/07/25 00:00:00+00,1635,"S 20,A to WASHINGTON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4765
B3-067169,2013/06/30 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4766
B3-066348,2013/07/20 00:00:00+00,155,"N 11,O to P",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4767
B3-064291,2013/07/15 00:00:00+00,1530,RANDOLPH at MULDER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4768
B3-065105,2013/07/17 00:00:00+00,755,"NORMAL,S 39 to S 40",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,4769
B3-063514,2013/07/12 00:00:00+00,1700,"S 56,LASALLE to SPRUCE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4770
B3-066353,2013/07/20 00:00:00+00,218,101 N 14 at -,NON-INJ H&R,,3,0,NO,NO,NO,NO,NO,NO,NO,4771
B3-068894,2013/07/28 00:00:00+00,1844,"SUPERIOR,LEWIS to N 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4772
B3-068258,2013/07/25 00:00:00+00,1716,6600 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4773
B3-064292,2013/07/15 00:00:00+00,1550,N 27 at FAIRFIELD,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,4774
B3-065111,2013/07/15 00:00:00+00,1,"MORTON,N 12 to N 13",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4775
