DATE,TIME,RACE,SEX,REASON,OUTCOME,SEARCH,FID
2017/01/01 00:00:00+00,21:21:XX,1,1,1,1,1,132
2017/01/01 00:00:00+00,21:37:XX,1,1,1,2,1,133
2017/01/01 00:00:00+00,21:46:XX,1,1,1,1,1,134
2017/01/01 00:00:00+00,22:28:XX,1,1,1,1,1,135
2017/01/01 00:00:00+00,22:38:XX,1,1,1,1,1,136
2017/01/01 00:00:00+00,22:55:XX,1,1,1,2,1,137
2017/01/01 00:00:00+00,23:00:XX,1,2,1,2,1,138
2017/01/01 00:00:00+00,23:03:XX,1,2,1,1,1,139
2017/01/01 00:00:00+00,23:05:XX,4,1,1,2,1,140
2017/01/01 00:00:00+00,23:35:XX,1,2,1,2,1,141
2017/01/01 00:00:00+00,23:50:XX,6,1,1,1,1,142
2017/01/01 00:00:00+00,: :XX,1,1,1,1,1,143
2017/01/02 00:00:00+00,00:00:XX,1,1,1,1,1,144
2017/01/02 00:00:00+00,00:13:XX,1,2,1,1,1,145
2017/01/02 00:00:00+00,00:30:XX,1,1,2,4,5,146
2017/01/02 00:00:00+00,00:41:XX,1,1,1,1,1,147
2017/01/02 00:00:00+00,00:57:XX,4,1,1,1,1,148
2017/01/02 00:00:00+00,00:58:XX,4,1,1,2,1,149
2017/01/02 00:00:00+00,01:47:XX,1,1,1,1,1,150
2017/01/02 00:00:00+00,03:10:XX,1,1,1,1,1,151
2017/01/02 00:00:00+00,06:42:XX,1,2,1,1,1,152
2017/01/02 00:00:00+00,07:46:XX,4,1,1,2,1,153
2017/01/02 00:00:00+00,08:09:XX,1,1,1,1,1,154
2017/01/02 00:00:00+00,09:14:XX,1,1,1,5,1,155
2017/01/02 00:00:00+00,09:26:XX,1,2,1,2,1,156
2017/01/02 00:00:00+00,09:37:XX,1,1,1,1,1,157
2017/01/02 00:00:00+00,09:38:XX,1,1,1,2,1,158
2017/01/02 00:00:00+00,10:09:XX,2,2,1,2,1,159
2017/01/02 00:00:00+00,10:15:XX,1,1,1,3,5,160
2017/01/02 00:00:00+00,10:30:XX,1,1,1,1,1,161
2017/01/02 00:00:00+00,10:33:XX,1,2,1,2,1,162
2017/01/02 00:00:00+00,10:38:XX,1,1,1,1,1,163
2017/01/02 00:00:00+00,10:38:XX,1,1,1,1,1,164
2017/01/02 00:00:00+00,10:47:XX,1,1,1,2,1,165
2017/01/02 00:00:00+00,10:54:XX,1,1,1,2,1,166
2017/01/02 00:00:00+00,10:56:XX,1,1,1,1,1,167
2017/01/02 00:00:00+00,11:09:XX,1,1,1,2,1,168
2017/01/02 00:00:00+00,11:23:XX,1,1,1,2,1,169
2017/01/02 00:00:00+00,12:28:XX,3,1,1,3,5,170
2017/01/02 00:00:00+00,13:00:XX,1,1,1,2,1,171
2017/01/02 00:00:00+00,13:29:XX,2,2,1,2,1,172
2017/01/02 00:00:00+00,13:48:XX,1,2,1,2,1,173
2017/01/02 00:00:00+00,14:02:XX,1,1,1,2,1,174
2017/01/02 00:00:00+00,15:47:XX,2,1,1,2,1,175
2017/01/02 00:00:00+00,16:00:XX,1,2,1,1,1,176
2017/01/02 00:00:00+00,16:13:XX,4,1,1,1,1,177
2017/01/02 00:00:00+00,16:41:XX,1,2,2,3,5,178
2017/01/02 00:00:00+00,17:03:XX,1,2,1,1,1,179
2017/01/02 00:00:00+00,18:10:XX,1,2,1,1,1,180
2017/01/02 00:00:00+00,18:25:XX,1,2,1,1,1,181
2017/01/02 00:00:00+00,18:30:XX,2,2,1,1,1,182
2017/01/02 00:00:00+00,19:00:XX,1,1,1,2,1,183
2017/01/02 00:00:00+00,19:09:XX,4,1,1,5,1,184
2017/01/02 00:00:00+00,19:29:XX,1,1,1,2,1,185
2017/01/02 00:00:00+00,19:34:XX,1,1,1,1,1,186
2017/01/02 00:00:00+00,20:04:XX,1,1,1,1,1,187
2017/01/02 00:00:00+00,20:52:XX,6,1,1,1,1,188
2017/01/02 00:00:00+00,20:58:XX,1,1,1,1,1,189
2017/01/02 00:00:00+00,21:00:XX,1,2,1,2,1,190
2017/01/02 00:00:00+00,21:01:XX,1,2,1,1,1,191
2017/01/02 00:00:00+00,21:10:XX,2,1,1,2,1,192
