RKY,DOA,TOA,FIXTIME,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId,ObjectId2
B8-003415,2018/01/12 06:00:00+00,2047,08:47:00,"N 30,FAIR to POTTER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,87
B8-003422,2018/01/12 06:00:00+00,,12:00:00,100 S 66 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,88
B8-003430,2018/01/12 06:00:00+00,2135,09:35:00,"S 27,H to RANDOLPH",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,89
B8-003452,2018/01/12 06:00:00+00,2310,11:10:00,"ADAMS,N 33 to N 35",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,,90
B8-003461,2018/01/12 06:00:00+00,2305,11:05:00,"N 9,GROVELAND to HARTLEY",INJURY,OTHER,1,1,NO,NO,NO,NO,NO,NO,NO,,91
B8-003475,2018/01/13 06:00:00+00,,12:00:00,"DUDLEY,N 29 to N 30",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,92
B8-003487,2018/01/13 06:00:00+00,155,01:55:00,900 Q at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,93
B8-003524,2018/01/13 06:00:00+00,,12:00:00,"OREGON,NW 1 to NW 2",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,94
B8-003526,2018/01/13 06:00:00+00,750,07:50:00,S 48 at NORMAL,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,,95
B8-003531,2018/01/13 06:00:00+00,820,08:20:00,S 17 at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,96
B8-003549,2018/01/13 06:00:00+00,1008,10:08:00,"NORMAL,S 70 to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,97
B8-003559,2018/01/13 06:00:00+00,,12:00:00,73 TRENRIDGE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,98
B8-003569,2018/01/13 06:00:00+00,1630,04:30:00,"NW EBONY CT,W FAIRFIELD to W TREEHAVEN",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,99
B8-003572,2018/01/13 06:00:00+00,1213,12:13:00,S 17 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,100
B8-002790,2018/01/10 06:00:00+00,1750,05:50:00,"BRIDGER,NW 6 to NW 7",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,101
B8-002793,2018/01/10 06:00:00+00,1805,06:05:00,CAPITOL PKWY at A,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,102
B8-002798,2018/01/10 06:00:00+00,1755,05:55:00,"CORNHUSKER,N 70 to RUSSELL",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,,103
B8-002851,2018/01/10 06:00:00+00,2115,09:15:00,"S 14,CENTERPARK to PIONEERS",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,104
B8-002908,2018/01/11 06:00:00+00,433,04:33:00,S 27 at PINE LAKE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,105
B8-002915,2018/01/11 06:00:00+00,545,05:45:00,S 56 at NEBR HWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,106
B8-002917,2018/01/11 06:00:00+00,625,06:25:00,"CAPITOL PKWY,D to S 27",FATAL,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,,107
B8-002921,2018/01/11 06:00:00+00,640,06:40:00,S 48 at PIONEERS,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,108
B8-002922,2018/01/11 06:00:00+00,640,06:40:00,HAVELOCK at CORNHUSKER,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,,109
B8-002927,2018/01/11 06:00:00+00,717,07:17:00,"I 180,CORNHUSKER to SUPERIOR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,110
B8-002933,2018/01/11 06:00:00+00,800,08:00:00,N 27 at SUPERIOR,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,111
B8-002934,2018/01/11 06:00:00+00,30,12:30:00,"LAKESIDE DR,SURFSIDE to W S",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,112
B8-002939,2018/01/11 06:00:00+00,840,08:40:00,N 14 at KNOX,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,,113
B8-002941,2018/01/11 06:00:00+00,750,07:50:00,"L,S 14 to S 16",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,114
B8-002942,2018/01/11 06:00:00+00,849,08:49:00,"N ANTELOPE VALL,SALT CREEK RDWY to N 17",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,115
B8-002945,2018/01/10 06:00:00+00,,12:00:00,"W,N 33 to N 34",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,116
B8-002956,2018/01/11 06:00:00+00,945,09:45:00,N 48 at CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,117
B8-002962,2018/01/11 06:00:00+00,1003,10:03:00,S 16 at K,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,,118
B8-002966,2018/01/11 06:00:00+00,1020,10:20:00,"O,12 to 13",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,119
B8-002968,2018/01/11 06:00:00+00,1008,10:08:00,"A,S 49 to S COTNER",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,120
B8-002971,2018/01/11 06:00:00+00,1045,10:45:00,"S 40,M to N",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,121
B8-002974,2018/01/11 06:00:00+00,1142,11:42:00,"PIONEERS,PAGODA to S 84",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,122
B8-002978,2018/01/11 06:00:00+00,1131,11:31:00,"N ANTELOPE VALL,VIRGINIA to SAUNDERS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,123
B8-002980,2018/01/11 06:00:00+00,1135,11:35:00,"PIONEERS,PAGODA to S 84",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,124
B8-002981,2018/01/11 06:00:00+00,,12:00:00,1128 L at PARKING GARAGE,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,125
B8-002985,2018/01/11 06:00:00+00,1135,11:35:00,"NORMAL,EVERETT to GARFIELD",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,,126
B8-002987,2018/01/10 06:00:00+00,2010,08:10:00,"S 10,HIGH to VAN DORN",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,127
B8-002989,2018/01/10 06:00:00+00,1505,03:05:00,7001 S 14 at SWHS PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,128
B8-003035,2018/01/11 06:00:00+00,1532,03:32:00,"N ANTELOPE VALL,VINE to N 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,129
B8-003044,2018/01/11 06:00:00+00,1552,03:52:00,"N 27,DUDLEY to ORCHARD",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,130
B8-003049,2018/01/11 06:00:00+00,1546,03:46:00,"MOHAWK,S 35 to S 37",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,131
B8-003057,2018/01/11 06:00:00+00,1620,04:20:00,"N 27,FAIRFIELD to OLD DAIRY RD",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,132
B8-003061,2018/01/11 06:00:00+00,1639,04:39:00,"W BENTON,NW 52 to W HUGHES",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,133
B8-003068,2018/01/11 06:00:00+00,1709,05:09:00,"NORMAL,S 70 to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,134
B8-003077,2018/01/11 06:00:00+00,1750,05:50:00,"N 33,LEIGHTON to MERRILL",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,135
B8-003085,2018/01/09 06:00:00+00,1640,04:40:00,"S 17,N to O",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,,136
B8-003097,2018/01/11 06:00:00+00,1940,07:40:00,"N 33,HOLDREGE to STARR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,137
B8-003123,2018/01/11 06:00:00+00,2123,09:23:00,"NEBR HWY,S 84 to S 87",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,138
B8-003131,2018/01/12 06:00:00+00,2140,09:40:00,3928 N 20 ST at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,,139
B8-003151,2018/01/11 06:00:00+00,2317,11:17:00,"DOROTHY,BALDWIN to WALKER",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,140
B8-003154,2018/01/11 06:00:00+00,2350,11:50:00,N 10 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,141
B8-003169,2018/01/12 06:00:00+00,112,01:12:00,3043 S 31 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,,142
B8-003179,2018/01/12 06:00:00+00,206,02:06:00,"S 50,DUXHALL DR to OLD CHENEY",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,143
B8-003193,2018/01/12 06:00:00+00,,12:00:00,"LINDEN,S 46 to S 47",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,144
B8-003198,2018/01/12 06:00:00+00,625,06:25:00,N 17 at P,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,145
B8-003201,2018/01/12 06:00:00+00,725,07:25:00,"S 40,LINDEN to LOCUST",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,146
B8-003202,2018/01/12 06:00:00+00,732,07:32:00,"S 40,STONECLIFFE to WILDBRIAR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,147
B8-003204,2018/01/12 06:00:00+00,750,07:50:00,S 34 at SMITH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,148
B8-003207,2018/01/12 06:00:00+00,755,07:55:00,"S 40,LAKE to SMITH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,149
