RKY,DOA,TOA,FIXTIME,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId,ObjectId2
B7-026273,2017/03/31 05:00:00+00,2210,10:10:00,48 at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,11562
B7-026293,2017/03/31 05:00:00+00,2240,10:40:00,"SUPERIOR,INDUSTRIAL to N 27",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,11563
B7-026312,2017/03/31 05:00:00+00,2350,11:50:00,"CENTENNIAL MALL,N to O",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,,11564
B7-026338,2017/04/01 05:00:00+00,114,01:14:00,SW 27 at W A,INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,YES,NO,,11565
B7-026378,2017/04/01 05:00:00+00,529,05:29:00,S 84 at PIONEERS,NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,11566
B7-026401,2017/04/01 05:00:00+00,900,09:00:00,N 46 at R,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11567
B7-026420,2017/04/01 05:00:00+00,1030,10:30:00,"SUPERIOR,LEWIS to N 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11568
B7-030104,2017/04/12 05:00:00+00,1630,04:30:00,"NEBR HWY,S 33 to S 40",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11569
B7-030111,2017/04/12 05:00:00+00,1640,04:40:00,N 1 at CORNHUSKER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,11570
B7-030117,2017/04/12 05:00:00+00,1408,02:08:00,"W P,BROOKSIDE to N BELL",INJURY,BACKING,2,1,NO,NO,NO,NO,NO,YES,NO,,11571
B7-030125,2017/04/12 05:00:00+00,1710,05:10:00,"A,S 26 to S 27",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,11572
B7-030128,2017/04/12 05:00:00+00,1730,05:30:00,"CORNHUSKER,N 40 to N 44",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11573
B7-030132,2017/04/12 05:00:00+00,1721,05:21:00,"OLD CHENEY,S 40 to VILLAGE BLVD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,11574
B7-030141,2017/04/12 05:00:00+00,1803,06:03:00,"PINE LAKE,S 66 to S 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11575
B7-030144,2017/04/12 05:00:00+00,1805,06:05:00,THOMPSON CREEK at KENTWELL LN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,11576
B7-030216,2017/04/12 05:00:00+00,2116,09:16:00,"S 40,NORMAL to SOUTH",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11577
B7-030219,2017/04/12 05:00:00+00,,12:00:00,3048 N 70 at SPORTSCASTERS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,11578
B7-025720,2017/03/30 05:00:00+00,15,12:15:00,"O,18 to 19",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11579
B7-025746,2017/03/30 05:00:00+00,,12:00:00,"OLD CHENEY,S 48 to S 49",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,11580
B7-025752,2017/03/30 05:00:00+00,,12:00:00,"N 27,CORNHUSKER to KNOX",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11581
B7-025756,2017/03/30 05:00:00+00,625,06:25:00,VINE at N ANTELOPE VALL,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,,11582
B7-025761,2017/03/30 05:00:00+00,720,07:20:00,S 48 at OLD CHENEY,NON-INJ,RIGHT ANGLE,2,0,NO,YES,NO,NO,NO,NO,NO,,11583
B7-025764,2017/03/30 05:00:00+00,751,07:51:00,"S 70,A to SUMNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11584
B7-025767,2017/03/30 05:00:00+00,130,01:30:00,"S WEDGEWOOD,ASPEN to ENGLEWOOD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,11585
B7-027720,2017/03/27 05:00:00+00,,12:00:00,2516 RANDOLPH at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,11586
B7-027723,2017/04/05 05:00:00+00,1607,04:07:00,"SUPERIOR,BEL RIDGE to N 14",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,,11587
B7-027741,2017/04/05 05:00:00+00,1654,04:54:00,"O,17 to 18",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,11588
B7-027746,2017/04/05 05:00:00+00,1703,05:03:00,N 23 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,11589
B7-027767,2017/04/05 05:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11590
B7-027787,2017/04/05 05:00:00+00,1954,07:54:00,1350 N 48 at PARKING LOT,INJURY H&R,,1,1,YES,NO,NO,NO,NO,NO,NO,,11591
B7-027812,2017/04/05 05:00:00+00,2051,08:51:00,"N 48,TARGET DR to R",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11592
B7-027815,2017/04/05 05:00:00+00,2115,09:15:00,S 10 at N,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,YES,,11593
B7-027847,2017/04/05 05:00:00+00,2325,11:25:00,"S 46,COOPER to STOCKWELL",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,11594
B7-027884,2017/04/06 05:00:00+00,720,07:20:00,"S 48,GLADE to NORMAL",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,11595
B7-027890,2017/04/06 05:00:00+00,740,07:40:00,"I 180,CORNHUSKER to R",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11596
B7-027892,2017/04/06 05:00:00+00,754,07:54:00,VALLEY at ALDRICH,INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,,11597
B7-027893,2017/04/06 05:00:00+00,800,08:00:00,"COLBY,N 70 to N 73",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11598
B7-027895,2017/04/06 05:00:00+00,810,08:10:00,"S 14,OLD CHENEY to ITI DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11599
B7-027899,2017/04/06 05:00:00+00,824,08:24:00,"N 27,FAIRFIELD to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11600
B7-030308,2017/04/13 05:00:00+00,750,07:50:00,"S 70,MONTEREY to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11601
B7-030313,2017/04/13 05:00:00+00,805,08:05:00,S 70 at PIONEERS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,11602
B7-030314,2017/04/13 05:00:00+00,810,08:10:00,"N 9,Q to R",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,11603
B7-030335,2017/04/13 05:00:00+00,920,09:20:00,N 33 at HOLDREGE,NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,11604
B7-030346,2017/04/13 05:00:00+00,1010,10:10:00,"N 33,T to U",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11605
B7-030375,2017/04/13 05:00:00+00,1148,11:48:00,"SUPERIOR,N 24 to N 27",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,11606
B7-030393,2017/04/13 05:00:00+00,1240,12:40:00,S 12 & S 13 at WASHINGTON & A,NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,,11607
B7-030398,2017/04/13 05:00:00+00,1230,12:30:00,"N 27,OLD DAIRY RD to DAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11608
B7-030433,2017/04/13 05:00:00+00,1515,03:15:00,N 11 at ADAMS,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,,11609
B7-030448,2017/04/13 05:00:00+00,1552,03:52:00,"S 56,ELKCREST to LASALLE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,11610
B7-030459,2017/04/13 05:00:00+00,1620,04:20:00,N ANTELOPE VALL at P,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,11611
B7-030474,2017/04/13 05:00:00+00,1645,04:45:00,"N 27,OLD DAIRY RD to DAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11612
B7-030494,2017/04/13 05:00:00+00,,12:00:00,"N 27,FAIRFIELD to OLD DAIRY RD",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,11613
B7-030514,2017/04/13 05:00:00+00,1831,06:31:00,N 35 at BALDWIN,INJURY,RIGHT ANGLE,2,4,NO,NO,NO,NO,NO,YES,NO,,11614
B7-030521,2017/04/13 05:00:00+00,,12:00:00,N ANTELOPE VALL at MILITARY,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,11615
B7-030548,2017/04/13 05:00:00+00,1940,07:40:00,N 63 at BALDWIN,NON-INJ H&R,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,,11616
B7-030562,2017/04/13 05:00:00+00,2048,08:48:00,N 33 at FAIR,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,11617
B7-030566,2017/04/13 05:00:00+00,2055,08:55:00,S 56 at NORMAL,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,11618
B7-030571,2017/04/15 05:00:00+00,2112,09:12:00,"A,S 48 to S 49",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11619
B7-030589,2017/04/13 05:00:00+00,2252,10:52:00,S 56 at NEBR HWY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,,11620
B7-030653,2017/04/14 05:00:00+00,250,02:50:00,"CALVERT,COUNTRY CLUB to DUNN",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,11621
B7-030680,2017/04/14 05:00:00+00,715,07:15:00,N 66 at VINE,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,11622
B7-030683,2017/04/14 05:00:00+00,710,07:10:00,N COTNER at ADAMS,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,11623
B7-030695,2017/04/14 05:00:00+00,,12:00:00,"A,COTTONWOOD to TALBOT",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,11624
B7-034650,2017/04/26 05:00:00+00,1412,02:12:00,"N 27,CENTER to FAIR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11625
B7-030697,2017/04/14 05:00:00+00,130,01:30:00,"MESAVERDE,EVERGREEN to ROCKHURST",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,11626
B7-030706,2017/04/14 05:00:00+00,928,09:28:00,"S 70,SHAMROCK to VAN DORN",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,11627
B7-030710,2017/04/14 05:00:00+00,921,09:21:00,DUXHALL DR at VILLAGE DR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,11628
B7-034865,2017/04/27 05:00:00+00,803,08:03:00,"F,S 12 to S 13",INJURY,BACKING,1,1,NO,YES,NO,NO,NO,NO,NO,,11629
B7-033069,2017/04/21 05:00:00+00,1335,01:35:00,10 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,11630
B7-030715,2017/04/14 05:00:00+00,955,09:55:00,"N COTNER,N 69 to N 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11631
B7-036016,2017/05/01 05:00:00+00,650,06:50:00,"NW 12,W ADAMS to W CORNHUSKER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,11632
B7-032969,2017/04/21 05:00:00+00,725,07:25:00,SKYWAY at MESA,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,,11633
B7-033228,2017/04/21 05:00:00+00,2055,08:55:00,"W O,1 to SUN VALLEY",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,11634
B7-032510,2017/04/19 05:00:00+00,1715,05:15:00,"O,48 to 50",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11635
B7-031842,2017/04/17 05:00:00+00,1555,03:55:00,1550 SOUTH at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,11636
B7-031044,2017/04/15 05:00:00+00,,12:00:00,"N 70,CUMING to N COTNER",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,11637
B7-030719,2017/04/14 05:00:00+00,1000,10:00:00,"CORNHUSKER,N 48 to SUPERIOR",NON-INJ H&R,OVERHEAD,1,0,NO,NO,NO,NO,NO,YES,NO,,11638
B7-030720,2017/04/14 05:00:00+00,1000,10:00:00,S 27 at OLD CHENEY,INJURY,TURNING,3,1,NO,NO,NO,NO,NO,NO,NO,,11639
B7-030727,2017/04/14 05:00:00+00,1035,10:35:00,"OLD CHENEY,THE KNOLLS to TIPPERARY",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,11640
B7-030731,2017/04/14 05:00:00+00,1050,10:50:00,"S 48,NEWTON to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11641
B7-030734,2017/04/14 05:00:00+00,1100,11:00:00,"NORMAL,S 55 to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11642
B7-031605,2017/04/16 05:00:00+00,2037,08:37:00,"SOUTH,S 24 to S 25",INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,,11643
B7-031608,2017/04/16 05:00:00+00,2030,08:30:00,S 25 at SOUTH,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,,11644
B7-031623,2017/04/16 05:00:00+00,2220,10:20:00,"Q,N 29 to N 30",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,11645
B7-031647,2017/04/16 05:00:00+00,,12:00:00,"SUMNER,S 21 to S 22",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11646
B7-031721,2017/04/17 05:00:00+00,959,09:59:00,"CORNHUSKER,N 17 to YOLANDE",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,,11647
B7-031728,2017/04/17 05:00:00+00,845,08:45:00,3901 PINE LAKE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,11648
B7-031764,2017/04/17 05:00:00+00,1210,12:10:00,S 14 at M,INJURY,REAR END,2,1,NO,YES,NO,NO,NO,NO,YES,,11649
B7-031771,2017/04/17 05:00:00+00,1227,12:27:00,"S 17,J to K",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11650
B7-031773,2017/04/17 05:00:00+00,1233,12:33:00,"NORMAL,FRANKLIN to SOUTH",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,11651
B7-035146,2017/04/28 05:00:00+00,700,07:00:00,"FLETCHER,N 1 to N 7",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,,11652
B7-031783,2017/04/17 05:00:00+00,1300,01:00:00,N 27 at THERESA,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,,11653
B7-031795,2017/04/17 05:00:00+00,,12:00:00,555 S 10 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,,11654
B7-031819,2017/04/17 05:00:00+00,1457,02:57:00,S 48 at ANTELOPE CREEK,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,,11655
B7-031821,2017/04/17 05:00:00+00,1500,03:00:00,"O,17 to 18",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,11656
B7-031828,2017/04/17 05:00:00+00,1500,03:00:00,"S 84,S CHERRYWOOD to N HAZELWOOD",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,11657
B7-031832,2017/04/17 05:00:00+00,1512,03:12:00,"O,16 to CENTENNIAL MALL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11658
B7-031840,2017/04/17 05:00:00+00,1535,03:35:00,SUPERIOR at N 33,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,11659
B7-035275,2017/04/28 05:00:00+00,1536,03:36:00,"N 27 ACCESS,THERESA to KIMCO PL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11660
B7-031850,2017/04/17 05:00:00+00,1605,04:05:00,"SOUTH,NORMAL to SCOTT",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11661
B7-032528,2017/04/19 05:00:00+00,1808,06:08:00,"S 33,J to L",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11662
B7-035223,2017/04/28 05:00:00+00,1237,12:37:00,"4700 N 27,PARKING LOT to WALMART",INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,,11663
B7-035686,2017/04/29 05:00:00+00,,12:00:00,"NORMAL,S 47 to S 48",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11664
B7-036020,2017/05/01 05:00:00+00,,12:00:00,"BALLARD,N 61 to N 62",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,11665
B7-031048,2017/04/15 05:00:00+00,633,06:33:00,OLD CHENEY at NEBR HWY,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,,11666
B7-031858,2017/04/17 05:00:00+00,1625,04:25:00,6100 THORTON at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,11667
B7-032651,2017/04/20 05:00:00+00,744,07:44:00,"K,S 12 to S 13",INJURY,SIDE SWIPE,3,1,NO,NO,NO,NO,NO,NO,NO,,11668
B7-034751,2017/04/24 05:00:00+00,,12:00:00,"WASHINGTON,S 11 to S 12",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11669
B7-030759,2017/04/14 05:00:00+00,1235,12:35:00,"R,N 60 to N COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11670
B7-035153,2017/04/28 05:00:00+00,755,07:55:00,"N ANTELOPE VALL,MILITARY to VIRGINIA",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11671
B7-036022,2017/05/01 05:00:00+00,805,08:05:00,"S 48,NEBR HWY to RENTWORTH DR",INJURY,DRIVEWAY,4,1,NO,NO,NO,NO,NO,YES,NO,,11672
B7-031068,2017/04/15 05:00:00+00,929,09:29:00,950 N 63 at -,INJURY,,1,2,NO,NO,NO,NO,NO,NO,NO,,11673
B7-031865,2017/04/17 05:00:00+00,1658,04:58:00,"S 48,NEWTON to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11674
B7-034869,2017/04/27 05:00:00+00,1010,10:10:00,"N 17,P to Q",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,11675
B7-034891,2017/04/27 05:00:00+00,1215,12:15:00,"N 48,FREMONT to HARTLEY",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,,11676
B7-034916,2017/04/27 05:00:00+00,1335,01:35:00,"S 70,PIONEER WOODS DR to PIONEERS",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11677
B7-034936,2017/04/27 05:00:00+00,1512,03:12:00,N ANTELOPE VALL at N 17,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,11678
B7-034937,2017/04/27 05:00:00+00,1515,03:15:00,"ERVIN,BENTON to N 52",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11679
B7-034942,2017/04/27 05:00:00+00,1539,03:39:00,"O,31 to 32",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11680
B7-034952,2017/04/27 05:00:00+00,1530,03:30:00,"N 70,CUSTER to CORNHUSKER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11681
B7-034964,2017/04/27 05:00:00+00,1637,04:37:00,"S 70,A to TETON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11682
B7-034973,2017/04/27 05:00:00+00,1645,04:45:00,"S 18,H to J",INJURY H&R,PARKED,1,1,NO,YES,NO,NO,NO,YES,NO,,11683
B7-034990,2017/04/27 05:00:00+00,1737,05:37:00,"S 70,L to S WEDGEWOOD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11684
B7-035029,2017/04/27 05:00:00+00,1948,07:48:00,"N 84,FREMONT to HAVELOCK",INJURY,REAR END,3,3,NO,NO,NO,NO,NO,NO,NO,,11685
B7-035034,2017/04/27 05:00:00+00,2022,08:22:00,S 38 at L,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,11686
B7-035038,2017/04/27 05:00:00+00,2025,08:25:00,"N COTNER,N 62 to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11687
B7-035083,2017/04/27 05:00:00+00,2334,11:34:00,"N 48,BALDWIN to HUNTINGTON",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11688
B7-035114,2017/04/28 05:00:00+00,130,01:30:00,N 10 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,11689
B7-033737,2017/04/23 05:00:00+00,1332,01:32:00,"S 27,C to CAPITOL PKWY",NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,,11690
B7-030807,2017/04/14 05:00:00+00,1416,02:16:00,46 at O,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,11691
B7-030821,2017/04/14 05:00:00+00,,12:00:00,S 31 at OLD CHENEY,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,,11692
B7-032657,2017/04/18 05:00:00+00,,12:00:00,"WAY,BENTON to FREMONT",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11693
B7-033240,2017/04/21 05:00:00+00,2126,09:26:00,N 51 at WALKER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,11694
B7-030830,2017/04/14 05:00:00+00,1550,03:50:00,"O,29 to 30",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11695
B7-032682,2017/04/20 05:00:00+00,1006,10:06:00,S 40 at PINE LAKE,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,11696
B7-033269,2017/04/21 05:00:00+00,2249,10:49:00,"A,S 33 to S 35",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,,11697
B7-033756,2017/04/23 05:00:00+00,1505,03:05:00,"S 40,GERTIE to NEBR HWY",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,11698
B7-030836,2017/04/14 05:00:00+00,1630,04:30:00,"N 27,O to P",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11699
B7-032701,2017/04/20 05:00:00+00,,12:00:00,4320 S 48 at -,NON-INJ H&R,,2,0,NO,NO,YES,NO,NO,NO,NO,,11700
B7-033281,2017/04/21 05:00:00+00,2331,11:31:00,"N 57,COLBY to LEIGHTON",NON-INJ,PARKED,2,0,NO,NO,YES,NO,NO,NO,NO,,11701
B7-033764,2017/04/23 05:00:00+00,1530,03:30:00,"EIGER DR,NEBR HWY to WESTSHORE",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11702
B7-030845,2017/04/14 05:00:00+00,1700,05:00:00,"HOLDREGE,N 84 to N 86",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,11703
B7-032705,2017/04/20 05:00:00+00,1205,12:05:00,"S 48,A to C",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11704
B7-033319,2017/04/22 05:00:00+00,200,02:00:00,4947 HOLDREGE at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,,11705
B7-033773,2017/04/23 05:00:00+00,1620,04:20:00,ST PAUL at N 33,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,,11706
B7-030859,2017/04/14 05:00:00+00,1755,05:55:00,"CORNHUSKER,N 48 to SUPERIOR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,11707
B7-032728,2017/04/19 05:00:00+00,1640,04:40:00,"N 48,FREMONT to HARTLEY",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11708
B7-033325,2017/04/22 05:00:00+00,228,02:28:00,"N ANTELOPE VALL,O to P",INJURY H&R,REAR END,2,3,NO,NO,NO,NO,NO,YES,NO,,11709
B7-033775,2017/04/23 05:00:00+00,1620,04:20:00,"OLD CHENEY,S 40 to VILLAGE BLVD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,11710
B7-030900,2017/04/14 05:00:00+00,2012,08:12:00,"N 27,CLINTON to HOLDREGE",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,,11711
B7-032730,2017/04/20 05:00:00+00,1325,01:25:00,"PINE LAKE,S 45 to BEAVER CREEK LN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,11712
B7-033390,2017/04/22 05:00:00+00,1048,10:48:00,S 51 at VAN DORN,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,11713
B7-033804,2017/04/23 05:00:00+00,1750,05:50:00,NW 2 at W HIGHLAND,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,11714
B7-030927,2017/04/14 05:00:00+00,2135,09:35:00,"E AVON,LANCASTER to VINE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11715
B7-032732,2017/04/20 05:00:00+00,1340,01:40:00,"O,10 to 9",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,11716
B7-033396,2017/04/22 05:00:00+00,1132,11:32:00,ITI DR at S 14,INJURY,TURNING,2,1,NO,NO,YES,NO,NO,NO,NO,,11717
B7-033806,2017/04/23 05:00:00+00,1830,06:30:00,"S 14,B to C",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11718
B7-030939,2017/04/14 05:00:00+00,2230,10:30:00,S 48 at BANCROFT,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,11719
B7-030960,2017/04/14 05:00:00+00,2220,10:20:00,"HOLDREGE,N 22 to N 22",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,11720
