feat,f,mi,logreg,lightgbm
Heating_Floor,2.5,51.0,208.0,186.0
Heating_GasA,109.0,93.0,162.0,79.0
Heating_GasW,165.0,78.0,164.0,186.0
Heating_Grav,11.0,42.0,181.0,186.0
Heating_OthW,208.0,61.0,201.0,186.0
Heating_Wall,57.0,43.0,198.0,186.0
CentralAir_N,66.5,139.0,127.0,126.0
CentralAir_Y,66.5,119.0,126.0,131.0
Electrical_FuseA,111.0,113.0,102.0,94.0
Electrical_FuseF,147.0,127.0,136.0,65.0
Electrical_FuseP,110.0,87.0,191.0,186.0
Electrical_Mix,229.0,229.0,229.0,186.0
Electrical_SBrkr,101.0,140.0,105.0,123.0
GarageType_2Types,176.0,16.0,189.0,186.0
GarageType_Attchd,58.0,182.0,33.0,108.0
GarageType_Basment,195.0,99.0,150.0,186.0
GarageType_BuiltIn,41.0,142.0,48.0,86.0
GarageType_CarPort,192.0,60.0,173.0,186.0
GarageType_Detchd,90.0,180.0,56.0,106.0
GarageType_None,89.0,54.0,134.0,111.0
Fence_GdPrv,153.0,89.0,100.0,59.0
Fence_GdWo,144.0,126.0,88.0,52.0
Fence_MnPrv,178.0,156.0,61.0,96.0
Fence_MnWw,191.0,76.0,163.0,186.0
Fence_None,162.0,184.0,57.0,133.0
MiscFeature_Gar2,225.5,31.0,223.5,186.0
MiscFeature_None,180.0,134.0,119.0,138.0
MiscFeature_Othr,127.0,91.0,220.0,186.0
MiscFeature_Shed,174.0,46.0,116.0,128.0
MiscFeature_TenC,219.0,77.0,218.0,186.0
SaleType_COD,194.0,20.0,124.0,42.0
SaleType_CWD,100.0,98.0,179.0,186.0
SaleType_Con,2.5,63.0,194.0,186.0
SaleType_ConLD,152.0,32.0,167.0,186.0
SaleType_ConLI,224.0,120.0,219.0,186.0
SaleType_ConLw,203.0,23.0,190.0,186.0
SaleType_New,13.0,55.0,63.0,95.0
SaleType_Oth,126.0,36.0,207.0,186.0
SaleType_WD,40.0,146.0,65.0,129.0
SaleCondition_Abnorml,175.0,118.0,85.0,90.0
SaleCondition_AdjLand,190.0,66.0,187.0,186.0
SaleCondition_Alloca,5.0,24.0,176.0,186.0
SaleCondition_Family,196.0,85.0,130.0,186.0
SaleCondition_Normal,71.0,160.0,45.0,130.0
SaleCondition_Partial,12.0,131.0,64.0,139.0
